Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,ArrayExpress-SPECIES
ERR2819005,302,17617704540,PRJEB21343,SAMEA104139248,ERX2825812,HiSeq X Ten,DN490201M:E11,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819006,302,17065745784,PRJEB21343,SAMEA104139249,ERX2825813,HiSeq X Ten,DN490201M:F11,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819007,302,17385738340,PRJEB21343,SAMEA104139250,ERX2825814,HiSeq X Ten,DN490201M:G11,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819008,302,17548333026,PRJEB21343,SAMEA104139251,ERX2825815,HiSeq X Ten,DN490201M:H11,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819009,302,16831307714,PRJEB21343,SAMEA104139204,ERX2825816,HiSeq X Ten,DN490201M:A6,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819010,302,17019206678,PRJEB21343,SAMEA104139205,ERX2825817,HiSeq X Ten,DN490201M:B6,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819011,302,18886140176,PRJEB21343,SAMEA104139206,ERX2825818,HiSeq X Ten,DN490201M:C6,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819012,302,19702012806,PRJEB21343,SAMEA104139207,ERX2825819,HiSeq X Ten,DN490201M:D6,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819013,302,18446280196,PRJEB21343,SAMEA104139208,ERX2825820,HiSeq X Ten,DN490201M:E6,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819014,302,15243104210,PRJEB21343,SAMEA104139209,ERX2825821,HiSeq X Ten,DN490201M:F6,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819015,302,18660553726,PRJEB21343,SAMEA104139210,ERX2825822,HiSeq X Ten,DN490201M:G6,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819016,302,20260356144,PRJEB21343,SAMEA104139211,ERX2825823,HiSeq X Ten,DN490201M:H6,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819017,302,15322133382,PRJEB21343,SAMEA104139212,ERX2825824,HiSeq X Ten,DN490201M:A7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819018,302,16722017840,PRJEB21343,SAMEA104139213,ERX2825825,HiSeq X Ten,DN490201M:B7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819019,302,16288214470,PRJEB21343,SAMEA104139214,ERX2825826,HiSeq X Ten,DN490201M:C7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819020,302,16413118348,PRJEB21343,SAMEA104139215,ERX2825827,HiSeq X Ten,DN490201M:D7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819021,302,18267543006,PRJEB21343,SAMEA104139216,ERX2825828,HiSeq X Ten,DN490201M:E7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819022,302,17264927166,PRJEB21343,SAMEA104139217,ERX2825829,HiSeq X Ten,DN490201M:F7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
