Index,SampleID,Organism_ad,GenomeVersion,RunIDs,Coverage,TotalReads,InversionReads,DuplicationReads,ClippedReads,ChimericReads,bwa_version,gatk_version,pysam_version,BamSize,ProjectID,UnmappedReads,DiscordantReads,File,Organism_lmf,Ecogroup
91,SAMEA2661337,Copadichromis likomae,Mzebra_UMD2a,ERR730994,6.888158635,52762483,49602,47438,1092724,945538,0.7.17,4.2.6.1,0.15.3,4664206584,PRJEB1254,207779,1071168,PRJEB1254/ERR730994.unmapped_marked_adapters.bam,Astatotilapia 'Massoko benthic',Riverine
92,SAMEA4032041,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749412,31.89480129,202243723,320924,330096,3340518,5755989,0.7.17,4.2.6.0,0.15.3,21466987421,PRJEB15289,1118901,8031920,PRJEB15289/ERR1749412.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic
93,SAMEA2661434,Copadichromis likomae,Mzebra_UMD2a,ERR702270,6.627924472,50769120,57812,46584,1325005,1045512,0.7.17,4.2.6.1,0.15.3,4331966892,PRJEB1254,205561,1016598,PRJEB1254/ERR702270.unmapped_marked_adapters.bam,Astatotilapia 'Itamba yellow',Riverine
94,SAMEA2661409,Copadichromis likomae,Mzebra_UMD2a,ERR702246,7.954622047,60931467,67668,55866,1377442,1234834,0.7.17,4.2.6.1,0.15.3,5081392528,PRJEB1254,239542,1242100,PRJEB1254/ERR702246.unmapped_marked_adapters.bam,Astatotilapia 'Massoko small yellow',Riverine
95,SAMEA4032094,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749525,30.98400448,196468395,372278,367456,3467994,7108438,0.7.17,4.2.6.0,0.15.3,20632548259,PRJEB15289,1016056,9061676,PRJEB15289/ERR1749525.unmapped_marked_adapters.bam,Diplotaxodon limnothrissa,Diplotaxodon
96,SAMEA2661447,Copadichromis likomae,Mzebra_UMD2a,ERR702283,7.092652774,54328884,60294,49440,1243741,1120993,0.7.17,4.2.6.1,0.15.3,4764704567,PRJEB1254,238874,1153978,PRJEB1254/ERR702283.unmapped_marked_adapters.bam,Astatotilapia 'Massoko olive',Riverine
97,SAMEA4033335,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1743775,31.63978494,200626674,33902,29782,597699,764089,0.7.17,4.2.6.0,0.15.3,27418803648,PRJEB15289,182804927,947678,PRJEB15289/ERR1743775.unmapped_marked_adapters.bam,Serranochromis robustus,Riverine
98,SAMEA2661396,Copadichromis likomae,Mzebra_UMD2a,ERR702234,10.8132684,82828361,96546,77602,2042116,1699088,0.7.17,4.2.6.1,0.15.3,6697520189,PRJEB1254,489231,1777374,PRJEB1254/ERR702234.unmapped_marked_adapters.bam,Astatotilapia 'Massoko olive',Riverine
99,SAMEA1904326,Copadichromis likomae,Mzebra_UMD2a,"ERR299201,,ERR299210,,ERR295127",15.80432191,151324053,135016,112190,2287080,1812437,0.7.17,4.2.6.1,0.15.3,19716278591,PRJEB1254,897841,3243506,PRJEB1254/ERR299201.unmapped_marked_adapters.bam,Astatotilapia calliptera,AC
100,SAMEA4032042,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749414,30.28101036,192010736,295756,308850,3147169,5377313,0.7.17,4.2.6.0,0.15.3,20463397218,PRJEB15289,1027851,7362996,PRJEB15289/ERR1749414.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic
101,SAMEA2661368,Copadichromis likomae,Mzebra_UMD2a,ERR731020,7.804328481,59780236,56332,46654,1538862,1119261,0.7.17,4.2.6.1,0.15.3,5094426558,PRJEB1254,202973,1039860,PRJEB1254/ERR731020.unmapped_marked_adapters.bam,Astatotilapia 'Massoko benthic',Riverine
102,SAMEA4033328,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1757755,30.23053789,191690692,305698,337086,2954907,5481980,0.7.17,4.2.6.0,0.15.3,19997245755,PRJEB15289,1024664,7973814,PRJEB15289/ERR1757755.unmapped_marked_adapters.bam,Lethrinops gossei,Deep_Benthic
103,SAMEA1877476,Copadichromis likomae,Mzebra_UMD2a,"ERR266505,,ERR271658,,ERR271666",15.33861082,146864938,146258,113750,2309457,1830058,0.7.17,4.2.6.1,0.15.3,18163352811,PRJEB1254,1001964,4287914,PRJEB1254/ERR266505.unmapped_marked_adapters.bam,Nimbochromis polystigma,Shallow_Benthic
104,SAMEA2661309,Copadichromis likomae,Mzebra_UMD2a,ERR730974,7.200708485,55156578,57186,45562,1537214,1062574,0.7.17,4.2.6.1,0.15.3,5011384962,PRJEB1254,285830,965160,PRJEB1254/ERR730974.unmapped_marked_adapters.bam,Astatotilapia 'Massoko littoral',Riverine
105,SAMEA2661238,Copadichromis likomae,Mzebra_UMD2a,ERR715494,18.38086021,140795222,241370,129218,5343378,3979137,0.7.17,4.2.6.1,0.15.3,34922868504,PRJEB1254,1038868,2750486,PRJEB1254/ERR715494.unmapped_marked_adapters.bam,Champsochromis caeruelus,Shallow_Benthic
