,SampleID,metadata_id
43,SAMEA4032110,SAMEA4032110_Shallow_Benthic
44,SAMN08051112,SAMN08051112_Mbuna
45,SAMEA4033326,SAMEA4033326_Utaka
46,SAMN06685760,SAMN06685760_Shallow_Benthic
48,SAMEA4032130,SAMEA4032130_Utaka
50,SAMEA4033311,SAMEA4033311_Shallow_Benthic
51,SAMEA4033263,SAMEA4033263_Utaka
53,SAMEA4032091,SAMEA4032091_Diplotaxodon
54,SAMEA2661264,SAMEA2661264_Shallow_Benthic
55,SAMEA3480882,SAMEA3480882_Shallow_Benthic
56,SAMEA2661233,SAMEA2661233_Shallow_Benthic
59,SAMEA3388859,SAMEA3388859_Shallow_Benthic
60,SAMEA4032051,SAMEA4032051_Shallow_Benthic
62,SAMEA2661246,SAMEA2661246_Shallow_Benthic
63,SAMEA4033279,SAMEA4033279_Mbuna
64,SAMEA1877497,SAMEA1877497_Shallow_Benthic
65,SAMEA4032092,SAMEA4032092_Diplotaxodon
66,SAMEA1877455,SAMEA1877455_Shallow_Benthic
67,SAMEA3388874,SAMEA3388874_Mbuna
68,SAMEA4033262,SAMEA4033262_Utaka
73,SAMEA2661268,SAMEA2661268_Shallow_Benthic
75,SAMEA4033261,SAMEA4033261_Utaka
77,SAMEA1877411,SAMEA1877411_Shallow_Benthic
78,SAMEA4032040,SAMEA4032040_Shallow_Benthic
79,SAMEA2661263,SAMEA2661263_Shallow_Benthic
80,SAMEA2661285,SAMEA2661285_Utaka
81,SAMEA4033255,SAMEA4033255_Shallow_Benthic
83,SAMEA2661269,SAMEA2661269_Diplotaxodon
84,SAMEA4033307,SAMEA4033307_Shallow_Benthic
86,SAMEA2661241,SAMEA2661241_Shallow_Benthic
87,SAMEA4033327,SAMEA4033327_Deep_Benthic
89,SAMEA4033320,SAMEA4033320_Mbuna
90,SAMEA2661262,SAMEA2661262_Mbuna
92,SAMEA4032041,SAMEA4032041_Shallow_Benthic
95,SAMEA4032094,SAMEA4032094_Diplotaxodon
100,SAMEA4032042,SAMEA4032042_Shallow_Benthic
102,SAMEA4033328,SAMEA4033328_Deep_Benthic
103,SAMEA1877476,SAMEA1877476_Shallow_Benthic
105,SAMEA2661238,SAMEA2661238_Shallow_Benthic
106,SAMEA2661243,SAMEA2661243_Shallow_Benthic
110,SAMEA4032038,SAMEA4032038_Mbuna
111,SAMEA2661281,SAMEA2661281_Shallow_Benthic
112,SAMEA2661272,SAMEA2661272_Mbuna
113,SAMEA4051559,SAMEA4051559_Utaka
114,SAMEA1904330,SAMEA1904330_Deep_Benthic
116,SAMEA3388864,SAMEA3388864_Shallow_Benthic
119,SAMEA2661225,SAMEA2661225_Utaka
120,SAMEA2661287,SAMEA2661287_Shallow_Benthic
129,SAMEA4033250,SAMEA4033250_Mbuna
132,SAMEA4033316,SAMEA4033316_Shallow_Benthic
133,SAMEA1920094,SAMEA1920094_Shallow_Benthic
134,SAMEA2661235,SAMEA2661235_Shallow_Benthic
